goal	rule	score
parent(_EX5, _EX1)	parent(kevan_lannister, lancel_lannister)	1
parent(_EX1, _EX3)	parent(tytos_lannister, tywin_lannister)	1
parent(X, _EX5)	parent(unknown_mother_martell, doran_martell)	1
parent(_EX6, _EX2)	parent(unknown_father_greyjoy, aeron_greyjoy)	1
love(X, daenerys_targaryen)	love(jon_snow, daenerys_targaryen)	1
parent(_EX2, stannis_baratheon)	parent(steffon_baratheon, stannis_baratheon)	1
parent(Y, _EX3)	parent(alannys_harlaw, maron_greyjoy)	1
parent(_EX4, _EX0)	parent(unknown_mother_stark, eddard_stark)	1
ancestor(tywin_lannister, Z)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX4, _EX1)	parent(eddard_stark, bran_stark)	1
parent(_EX4, Z)	parent(unknown_mother_sand_3, sarella_sand)	1
parent(_EX4, _EX1)	parent(catelyn_stark, bran_stark)	1
parent(_EX2, X)	parent(alannys_harlaw, rodrick_greyjoy)	1
parent(Y, X)	parent(stannis_baratheon, shireen_baratheon)	1
parent(Y, _EX3)	parent(tywin_lannister, cersei_lannister)	1
status(Y, X)	status(lewyn_martell, dead)	1
parent(_EX2, arya_stark)	parent(eddard_stark, arya_stark)	1
parent(_EX1, _EX3)	parent(lewyn_martell, oberyn_martell)	1
parent(rhaegar_targaryen, _EX1)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
status(X, Y)	status(rhaella_targaryen, dead)	1
parent(_EX5, mace_tyrell)	parent(olenna_tyrell, mace_tyrell)	1
parent(Y, _EX3)	parent(alannys_harlaw, theon_greyjoy)	1
parent(_EX3, Z)	parent(catelyn_stark, rickon_stark)	1
parent(X, _EX3)	parent(tywin_lannister, jaime_lannister)	1
parent(eddard_stark, Y)	parent(eddard_stark, bran_stark)	1
parent(_EX6, _EX5)	parent(jaime_lannister, joffery_lannister)	1
status(X, Y)	status(robert_baratheon, dead)	1
parent(Y, X)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(_EX1, Z)	parent(unknown_father_greyjoy, balon_greyjoy)	1
female(X)	female(shireen_baratheon)	1
parent(Y, _EX3)	parent(eddard_stark, rickon_stark)	1
parent(cersei_lannister, Y)	parent(cersei_lannister, tommen_lannister)	1
parent(_EX0, X)	parent(unknown_mother_stark, lyanna_stark)	1
parent(_EX5, _EX1)	parent(tytos_lannister, tywin_lannister)	1
parent(_EX6, _EX2)	parent(alerie_hightower, margaery_tyrell)	1
status(X, Z)	status(tyene_sand, dead)	1
parent(_EX2, X)	parent(catelyn_stark, sansa_stark)	1
parent(_EX0, balon_greyjoy)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
ancestor(eddard_stark, sansa_stark)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX3, robert_baratheon)	parent(steffon_baratheon, robert_baratheon)	1
parent(_EX0, X)	parent(rickard_stark, brandon_stark)	1
parent(_EX3, Z)	parent(steffon_baratheon, robert_baratheon)	1
parent(_EX2, X)	parent(oberyn_martell, tyene_sand)	1
parent(_EX3, viserys_targaryen)	parent(rhaella_targaryen, viserys_targaryen)	1
ancestor(tytos_lannister, X)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(_EX2, X)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(X, _EX0)	parent(mace_tyrell, loras_tyrell)	1
status(Y, X)	status(stannis_baratheon, dead)	1
parent(_EX2, X)	parent(joanna_lannister, cersei_lannister)	1
parent(_EX1, Z)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
parent(_EX1, _EX5)	parent(elia_martell, aegon_targaryen)	1
parent(_EX4, _EX0)	parent(mellario_of_norvos, trystane_martell)	1
parent(_EX6, _EX2)	parent(kevan_lannister, willem_lannister)	1
female(_EX3)	female(mellario_of_norvos)	1
parent(_EX0, _EX1)	parent(mace_tyrell, margaery_tyrell)	1
parent(_EX2, X)	parent(rhaegar_targaryen, jon_snow)	1
parent(_EX3, X)	parent(luthor_tyrell, mace_tyrell)	1
status(X, Z)	status(euron_geofrey, dead)	1
parent(tywin_lannister, _EX0)	parent(tywin_lannister, cersei_lannister)	1
parent(_EX6, _EX2)	parent(aegon_v_targaryen, aerys_targaryen)	1
parent(_EX5, _EX1)	parent(unknown_mother_stark, brandon_stark)	1
parent(X, Y)	parent(unknown_mother_targaryen, daeron_targaryen)	1
parent(_EX0, X)	parent(ellaria_sand, tyene_sand)	1
ancestor(aerys_targaryen, Y)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX3, Z)	parent(lewyn_martell, doran_martell)	1
status(X, Z)	status(rorge, dead)	1
parent(X, _EX1)	parent(eddard_stark, bran_stark)	1
parent(balon_greyjoy, _EX0)	parent(balon_greyjoy, maron_greyjoy)	1
parent(_EX6, _EX5)	parent(joanna_lannister, tyrion_lannister)	1
parent(_EX4, _EX1)	parent(unknown_mother_martell, doran_martell)	1
parent(X, _EX1)	parent(alannys_harlaw, yara_greyjoy)	1
parent(X, _EX1)	parent(catelyn_stark, bran_stark)	1
parent(oberyn_martell, X)	parent(oberyn_martell, four_unknown_martells)	1
male(_EX2)	male(rickon_stark)	1
parent(_EX6, X)	parent(balon_greyjoy, maron_greyjoy)	1
parent(X, _EX1)	parent(mellario_of_norvos, trystane_martell)	1
parent(X, _EX4)	parent(alerie_hightower, margaery_tyrell)	1
parent(_EX6, _EX5)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(X, _EX3)	parent(balon_greyjoy, theon_greyjoy)	1
parent(_EX1, _EX5)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
ancestor(tywin_lannister, tyrion_lannister)	ancestor(X, Y) :- parent(X, Y)	1
status(X, Z)	status(eddard_stark, dead)	1
parent(_EX6, _EX2)	parent(aegon_v_targaryen, duncan_targaryen)	1
ancestor(tywin_lannister, _EX4)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX3)	parent(cassana_estermont, renly_baratheon)	1
parent(_EX1, _EX3)	parent(lyanna_stark, jon_snow)	1
parent(X, _EX1)	parent(joanna_lannister, cersei_lannister)	1
parent(_EX6, _EX5)	parent(cassana_estermont, renly_baratheon)	1
parent(X, _EX1)	parent(aegon_v_targaryen, daeron_targaryen)	1
parent(_EX6, _EX2)	parent(joanna_lannister, jaime_lannister)	1
male(_EX0)	male(steffon_baratheon)	1
parent(cersei_lannister, Z)	parent(cersei_lannister, joffery_lannister)	1
parent(X, _EX5)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(_EX1, Z)	parent(luthor_tyrell, mace_tyrell)	1
parent(Y, X)	parent(joanna_lannister, tyrion_lannister)	1
parent(_EX1, Z)	parent(unknown_mother_lannister, tywin_lannister)	1
parent(balon_greyjoy, _EX5)	parent(balon_greyjoy, yara_greyjoy)	1
parent(aerys_targaryen, X)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(eddard_stark, X)	parent(eddard_stark, arya_stark)	1
parent(Y, eddard_stark)	parent(unknown_mother_stark, eddard_stark)	1
parent(_EX3, X)	parent(eddard_stark, robb_stark)	1
parent(_EX3, Z)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(_EX4, X)	parent(lewyn_martell, ella_martell)	1
parent(X, Y)	parent(tywin_lannister, tyrion_lannister)	1
ancestor(_EX5, cersei_lannister)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX1, _EX3)	parent(eddard_stark, bran_stark)	1
parent(X, _EX4)	parent(aegon_v_targaryen, aerys_targaryen)	1
parent(Y, _EX3)	parent(elia_martell, aegon_targaryen)	1
parent(_EX1, _EX3)	parent(alannys_harlaw, yara_greyjoy)	1
parent(_EX1, _EX3)	parent(catelyn_stark, bran_stark)	1
parent(X, Y)	parent(tywin_lannister, cersei_lannister)	1
parent(Y, X)	parent(steffon_baratheon, robert_baratheon)	1
parent(_EX4, _EX0)	parent(unknown_mother_targaryen, duncan_targaryen)	1
parent(unknown_mother_greyjoy, X)	parent(unknown_mother_greyjoy, euron_greyjoy)	1
parent(rhaella_targaryen, _EX1)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(X, _EX4)	parent(cassana_estermont, renly_baratheon)	1
parent(catelyn_stark, _EX0)	parent(catelyn_stark, sansa_stark)	1
parent(_EX0, X)	parent(alannys_harlaw, rodrick_greyjoy)	1
parent(aerys_targaryen, _EX0)	parent(aerys_targaryen, viserys_targaryen)	1
parent(_EX1, Z)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(_EX1, _EX3)	parent(joanna_lannister, cersei_lannister)	1
parent(Y, X)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
parent(_EX2, X)	parent(jaime_lannister, tommen_lannister)	1
parent(_EX6, _EX2)	parent(olenna_tyrell, mace_tyrell)	1
female(_EX3)	female(unknown_mother_greyjoy)	1
female(X)	female(arya_stark)	1
parent(Z, rhaella_targaryen)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(_EX1, Z)	parent(eddard_stark, robb_stark)	1
parent(X, _EX5)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
status(X, Z)	status(rodrick_greyjoy, dead)	1
parent(_EX2, X)	parent(oberyn_martell, sarella_sand)	1
parent(_EX1, rhaegar_targaryen)	parent(rhaella_targaryen, rhaegar_targaryen)	1
parent(ellaria_sand, X)	parent(ellaria_sand, four_unknown_martells)	1
parent(Y, _EX3)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
parent(X, Z)	parent(tytos_lannister, kevan_lannister)	1
parent(Y, X)	parent(lewyn_martell, doran_martell)	1
parent(_EX1, _EX3)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(_EX3, Z)	parent(kevan_lannister, lancel_lannister)	1
parent(X, _EX3)	parent(rickard_stark, benjen_stark)	1
parent(X, _EX5)	parent(luthor_tyrell, mace_tyrell)	1
parent(X, _EX1)	parent(stannis_baratheon, shireen_baratheon)	1
parent(_EX5, _EX1)	parent(catelyn_stark, sansa_stark)	1
parent(_EX0, X)	parent(ellaria_sand, four_unknown_martells)	1
ancestor(cersei_lannister, _EX4)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX0, X)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(Y, rodrick_greyjoy)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(_EX5, _EX1)	parent(oberyn_martell, tyene_sand)	1
parent(_EX0, X)	parent(joanna_lannister, cersei_lannister)	1
parent(mellario_of_norvos, _EX1)	parent(mellario_of_norvos, trystane_martell)	1
parent(_EX1, Z)	parent(unknown_mother_stark, eddard_stark)	1
status(X, Z)	status(tytos_lannister, dead)	1
parent(X, _EX0)	parent(unknown_mother_targaryen, daeron_targaryen)	1
parent(mace_tyrell, _EX4)	parent(mace_tyrell, margaery_tyrell)	1
parent(X, balon_greyjoy)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(_EX0, X)	parent(rhaegar_targaryen, jon_snow)	1
parent(X, _EX5)	parent(cersei_lannister, myrcella_lannister)	1
parent(mace_tyrell, Z)	parent(mace_tyrell, loras_tyrell)	1
male(X)	male(gendry)	1
parent(_EX4, _EX0)	parent(tywin_lannister, jaime_lannister)	1
parent(_EX4, X)	parent(alannys_harlaw, theon_greyjoy)	1
parent(Y, X)	parent(luthor_tyrell, mace_tyrell)	1
parent(X, _EX1)	parent(aerys_targaryen, rhaegar_targaryen)	1
ancestor(oberyn_martell, _EX0)	ancestor(X, Y) :- parent(X, Y)	1
male(_EX0)	male(tyene_sand)	1
parent(X, _EX0)	parent(alannys_harlaw, maron_greyjoy)	1
parent(cersei_lannister, _EX4)	parent(cersei_lannister, tommen_lannister)	1
parent(X, _EX3)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(X, Z)	parent(aerys_targaryen, viserys_targaryen)	1
parent(cersei_lannister, _EX4)	parent(cersei_lannister, joffery_lannister)	1
parent(_EX2, X)	parent(steffon_baratheon, stannis_baratheon)	1
male(_EX0)	male(loras_tyrell)	1
parent(X, _EX5)	parent(unknown_mother_lannister, tywin_lannister)	1
ancestor(doran_martell, _EX3)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX4, Z)	parent(ellaria_sand, four_unknown_martells)	1
parent(oberyn_martell, _EX0)	parent(oberyn_martell, obara_sand)	1
female(_EX2)	female(sarella_sand)	1
parent(_EX3, Z)	parent(tytos_lannister, tywin_lannister)	1
parent(X, _EX5)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(_EX1, Z)	parent(tytos_lannister, tywin_lannister)	1
ancestor(_EX0, aegon_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
ancestor(lyanna_stark, _EX0)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX4)	parent(rickard_stark, benjen_stark)	1
ancestor(_EX1, _EX3)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(_EX6, _EX2)	parent(oberyn_martell, nymeria_sand)	1
parent(_EX4, _EX1)	parent(unknown_father_greyjoy, balon_greyjoy)	1
female(_EX2)	female(alerie_hightower)	1
parent(_EX6, _EX2)	parent(cersei_lannister, tommen_lannister)	1
parent(X, _EX3)	parent(cersei_lannister, tommen_lannister)	1
parent(_EX3, trystane_martell)	parent(mellario_of_norvos, trystane_martell)	1
parent(oberyn_martell, _EX3)	parent(oberyn_martell, four_unknown_martells)	1
parent(X, _EX0)	parent(tywin_lannister, tyrion_lannister)	1
parent(X, _EX0)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(_EX3, Z)	parent(lewyn_martell, oberyn_martell)	1
female(X)	female(selyse_baratheon)	1
parent(_EX2, X)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(_EX4, _EX1)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
status(X, Z)	status(lyanna_stark, dead)	1
parent(X, _EX3)	parent(oberyn_martell, obara_sand)	1
parent(_EX4, _EX1)	parent(robert_baratheon, gendry)	1
parent(X, Z)	parent(unknown_mother_greyjoy, euron_greyjoy)	1
parent(_EX4, Z)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(_EX1, _EX5)	parent(lewyn_martell, doran_martell)	1
parent(_EX6, X)	parent(eddard_stark, bran_stark)	1
parent(Y, X)	parent(eddard_stark, robb_stark)	1
parent(_EX6, _EX5)	parent(oberyn_martell, obara_sand)	1
parent(_EX1, ella_martell)	parent(unknown_mother_martell, ella_martell)	1
parent(cassana_estermont, _EX1)	parent(cassana_estermont, renly_baratheon)	1
ancestor(X, Z)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX4)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(_EX3, Z)	parent(unknown_mother_stark, brandon_stark)	1
parent(_EX1, Z)	parent(unknown_mother_stark, brandon_stark)	1
parent(X, Z)	parent(balon_greyjoy, maron_greyjoy)	1
parent(_EX5, balon_greyjoy)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(rhaegar_targaryen, _EX1)	parent(rhaegar_targaryen, jon_snow)	1
parent(_EX5, X)	parent(catelyn_stark, rickon_stark)	1
parent(eddard_stark, arya_stark)	parent(eddard_stark, arya_stark)	1
parent(X, _EX5)	parent(eddard_stark, robb_stark)	1
parent(Y, X)	parent(unknown_mother_martell, ella_martell)	1
parent(Y, X)	parent(kevan_lannister, lancel_lannister)	1
parent(_EX4, _EX0)	parent(balon_greyjoy, theon_greyjoy)	1
parent(_EX0, _EX1)	parent(tytos_lannister, kevan_lannister)	1
parent(Y, balon_greyjoy)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(_EX4, _EX0)	parent(cassana_estermont, renly_baratheon)	1
parent(X, _EX0)	parent(jaime_lannister, myrcella_lannister)	1
parent(_EX2, X)	parent(robert_baratheon, gendry)	1
parent(X, _EX1)	parent(joanna_lannister, tyrion_lannister)	1
parent(_EX3, daeron_targaryen)	parent(aegon_v_targaryen, daeron_targaryen)	1
parent(X, _EX4)	parent(cersei_lannister, tommen_lannister)	1
parent(_EX4, X)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
status(X, Y)	status(oberyn_martell, dead)	1
parent(X, Y)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
parent(balon_greyjoy, X)	parent(balon_greyjoy, theon_greyjoy)	1
parent(X, _EX5)	parent(unknown_mother_stark, eddard_stark)	1
female(_EX2)	female(alannys_harlaw)	1
female(_EX2)	female(nymeria_sand)	1
parent(X, Y)	parent(rickard_stark, lyanna_stark)	1
parent(_EX4, _EX1)	parent(luthor_tyrell, mace_tyrell)	1
descendant(aegon_targaryen, _EX0)	descendant(X, Y) :- ancestor(Y, X)	1
parent(_EX0, _EX1)	parent(oberyn_martell, nymeria_sand)	1
parent(_EX4, X)	parent(elia_martell, aegon_targaryen)	1
parent(X, Z)	parent(lewyn_martell, ella_martell)	1
ancestor(_EX6, tommen_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
child(Y, X)	child(X, Y) :- parent(Y, X)	1
love(daenerys_targaryen, hizdahr_zo_loraq)	love(daenerys_targaryen, hizdahr_zo_loraq)	1
parent(X, _EX1)	parent(steffon_baratheon, robert_baratheon)	1
parent(_EX5, X)	parent(catelyn_stark, arya_stark)	1
parent(_EX0, _EX1)	parent(aerys_targaryen, viserys_targaryen)	1
parent(_EX1, _EX5)	parent(tytos_lannister, kevan_lannister)	1
ancestor(stannis_baratheon, Z)	ancestor(X, Y) :- parent(X, Y)	1
status(X, Z)	status(jaime_lannister, dead)	1
female(X)	female(cassana_estermont)	1
parent(_EX4, Z)	parent(jaime_lannister, joffery_lannister)	1
parent(stannis_baratheon, Z)	parent(stannis_baratheon, shireen_baratheon)	1
parent(_EX6, _EX5)	parent(unknown_mother_stark, lyanna_stark)	1
parent(mace_tyrell, _EX5)	parent(mace_tyrell, margaery_tyrell)	1
parent(_EX1, Z)	parent(unknown_mother_targaryen, duncan_targaryen)	1
parent(_EX6, _EX5)	parent(eddard_stark, sansa_stark)	1
parent(_EX3, Z)	parent(lyanna_stark, jon_snow)	1
parent(_EX6, _EX5)	parent(rickard_stark, brandon_stark)	1
parent(_EX4, _EX1)	parent(unknown_mother_lannister, tywin_lannister)	1
female(_EX2)	female(obara_sand)	1
ancestor(X, _EX4)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
status(X, Y)	status(ellaria_sand, alive)	1
parent(Y, rickon_stark)	parent(catelyn_stark, rickon_stark)	1
parent(_EX3, doran_martell)	parent(unknown_mother_martell, doran_martell)	1
parent(_EX4, _EX1)	parent(unknown_mother_lannister, kevan_lannister)	1
female(X)	female(rhaella_targaryen)	1
parent(balon_greyjoy, _EX0)	parent(balon_greyjoy, theon_greyjoy)	1
parent(X, _EX1)	parent(lewyn_martell, doran_martell)	1
female(_EX0)	female(unknown_mother_stark)	1
parent(_EX0, X)	parent(steffon_baratheon, stannis_baratheon)	1
ancestor(_EX2, arya_stark)	ancestor(X, Y) :- parent(X, Y)	1
male(duncan_targaryen)	male(duncan_targaryen)	1
male(_EX0)	male(unknown_father_greyjoy)	1
parent(_EX1, _EX3)	parent(unknown_father_greyjoy, balon_greyjoy)	1
male(stannis_baratheon)	male(stannis_baratheon)	1
male(X)	male(night_king)	1
parent(_EX6, _EX2)	parent(oberyn_martell, four_unknown_martells)	1
parent(_EX4, _EX0)	parent(rickard_stark, benjen_stark)	1
parent(Y, X)	parent(unknown_mother_stark, brandon_stark)	1
parent(_EX3, Z)	parent(eddard_stark, bran_stark)	1
parent(_EX5, X)	parent(unknown_mother_targaryen, aerys_targaryen)	1
male(X)	male(aeron_greyjoy)	1
parent(_EX1, _EX3)	parent(steffon_baratheon, robert_baratheon)	1
parent(_EX2, X)	parent(steffon_baratheon, renly_baratheon)	1
parent(_EX0, _EX1)	parent(balon_greyjoy, maron_greyjoy)	1
parent(_EX3, rodrick_greyjoy)	parent(alannys_harlaw, rodrick_greyjoy)	1
parent(_EX6, _EX5)	parent(kevan_lannister, martyn_lannister)	1
parent(eddard_stark, Z)	parent(eddard_stark, sansa_stark)	1
parent(X, robert_baratheon)	parent(steffon_baratheon, robert_baratheon)	1
parent(rhaegar_targaryen, _EX0)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(_EX0, X)	parent(joanna_lannister, tyrion_lannister)	1
parent(_EX4, eddard_stark)	parent(rickard_stark, eddard_stark)	1
parent(_EX5, lyanna_stark)	parent(unknown_mother_stark, lyanna_stark)	1
parent(_EX6, _EX2)	parent(catelyn_stark, robb_stark)	1
status(X, Y)	status(maron_greyjoy, dead)	1
child(Z, _EX1)	child(X, Y) :- parent(Y, X)	1
parent(_EX0, X)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(_EX4, _EX1)	parent(unknown_mother_stark, eddard_stark)	1
parent(Y, _EX3)	parent(tytos_lannister, kevan_lannister)	1
descendant(obara_sand, _EX1)	descendant(X, Y) :- ancestor(Y, X)	1
parent(jaime_lannister, _EX5)	parent(jaime_lannister, tommen_lannister)	1
status(Y, X)	status(walder_frey, dead)	1
parent(_EX5, _EX1)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(X, _EX0)	parent(mace_tyrell, margaery_tyrell)	1
parent(_EX3, Z)	parent(alannys_harlaw, yara_greyjoy)	1
parent(_EX4, Z)	parent(cassana_estermont, renly_baratheon)	1
status(X, Z)	status(willem_lannister, dead)	1
parent(_EX5, _EX1)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(balon_greyjoy, _EX3)	parent(balon_greyjoy, yara_greyjoy)	1
status(X, Z)	status(yara_greyjoy, alive)	1
parent(_EX5, X)	parent(oberyn_martell, nymeria_sand)	1
ancestor(_EX2, X)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX0)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
status(Y, X)	status(benjen_stark, dead)	1
ancestor(jaime_lannister, _EX5)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX0, X)	parent(robert_baratheon, gendry)	1
descendant(arya_stark, _EX2)	descendant(X, Y) :- ancestor(Y, X)	1
parent(_EX5, _EX1)	parent(robert_baratheon, gendry)	1
parent(X, Z)	parent(eddard_stark, bran_stark)	1
parent(_EX6, X)	parent(unknown_father_greyjoy, euron_greyjoy)	1
parent(_EX3, X)	parent(balon_greyjoy, theon_greyjoy)	1
parent(_EX1, _EX3)	parent(luthor_tyrell, mace_tyrell)	1
parent(X, Z)	parent(alannys_harlaw, yara_greyjoy)	1
male(X)	male(doran_martell)	1
ancestor(X, lancel_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(X, Z)	parent(catelyn_stark, bran_stark)	1
parent(_EX2, X)	parent(tywin_lannister, tyrion_lannister)	1
parent(robert_baratheon, Z)	parent(robert_baratheon, gendry)	1
ancestor(X, daenerys_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
father(_EX1, ella_martell)	father(X, Y) :- male(X), parent(X, Y)	1
parent(Y, X)	parent(alannys_harlaw, rodrick_greyjoy)	1
parent(X, _EX5)	parent(unknown_mother_targaryen, duncan_targaryen)	1
parent(oberyn_martell, _EX0)	parent(oberyn_martell, tyene_sand)	1
status(X, Y)	status(arya_stark, alive)	1
parent(_EX6, jaime_lannister)	parent(tywin_lannister, jaime_lannister)	1
parent(_EX6, _EX5)	parent(oberyn_martell, tyene_sand)	1
parent(X, _EX1)	parent(unknown_mother_martell, ella_martell)	1
parent(X, _EX1)	parent(kevan_lannister, lancel_lannister)	1
status(X, Y)	status(varys, dead)	1
parent(tywin_lannister, _EX1)	parent(tywin_lannister, cersei_lannister)	1
parent(X, Z)	parent(joanna_lannister, cersei_lannister)	1
parent(_EX1, _EX5)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(jaime_lannister, X)	parent(jaime_lannister, myrcella_lannister)	1
parent(_EX6, _EX5)	parent(aegon_v_targaryen, rhaella_targaryen)	1
status(X, Z)	status(joanna_lannister, dead)	1
parent(_EX1, aerys_targaryen)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(_EX0, _EX1)	parent(catelyn_stark, robb_stark)	1
parent(_EX6, _EX2)	parent(doran_martell, trystane_martell)	1
parent(rhaegar_targaryen, _EX3)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(_EX3, Z)	parent(balon_greyjoy, theon_greyjoy)	1
parent(_EX1, Z)	parent(balon_greyjoy, theon_greyjoy)	1
parent(_EX5, X)	parent(balon_greyjoy, maron_greyjoy)	1
parent(X, _EX4)	parent(rickard_stark, lyanna_stark)	1
parent(kevan_lannister, _EX3)	parent(kevan_lannister, willem_lannister)	1
parent(_EX2, X)	parent(jaime_lannister, myrcella_lannister)	1
parent(_EX0, _EX1)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(X, _EX0)	parent(elia_martell, rhaenys_targaryen)	1
ancestor(robert_baratheon, X)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX3)	parent(balon_greyjoy, yara_greyjoy)	1
parent(X, Z)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(_EX1, _EX3)	parent(eddard_stark, robb_stark)	1
parent(_EX6, X)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(Y, X)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(_EX6, _EX5)	parent(ellaria_sand, four_unknown_martells)	1
parent(_EX5, X)	parent(lewyn_martell, oberyn_martell)	1
parent(eddard_stark, Y)	parent(eddard_stark, sansa_stark)	1
parent(X, jaime_lannister)	parent(joanna_lannister, jaime_lannister)	1
ancestor(doran_martell, _EX5)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX2, X)	parent(eddard_stark, sansa_stark)	1
parent(_EX1, _EX3)	parent(unknown_mother_martell, ella_martell)	1
parent(_EX1, _EX3)	parent(kevan_lannister, lancel_lannister)	1
parent(X, Z)	parent(elia_martell, aegon_targaryen)	1
parent(_EX6, _EX5)	parent(rhaegar_targaryen, jon_snow)	1
parent(mace_tyrell, Y)	parent(mace_tyrell, margaery_tyrell)	1
ancestor(X, joffery_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
ancestor(cersei_lannister, _EX0)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX4, _EX0)	parent(unknown_mother_stark, lyanna_stark)	1
parent(Y, jon_snow)	parent(lyanna_stark, jon_snow)	1
parent(X, _EX3)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(_EX5, _EX1)	parent(steffon_baratheon, renly_baratheon)	1
parent(_EX4, X)	parent(lewyn_martell, doran_martell)	1
parent(_EX3, X)	parent(rickard_stark, benjen_stark)	1
parent(_EX4, Z)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(tywin_lannister, _EX4)	parent(tywin_lannister, jaime_lannister)	1
ancestor(kevan_lannister, _EX3)	ancestor(X, Y) :- parent(X, Y)	1
status(X, Z)	status(doran_martell, dead)	1
status(X, Z)	status(ilyn_payne, alive)	1
parent(_EX1, jaime_lannister)	parent(joanna_lannister, jaime_lannister)	1
parent(_EX6, _EX2)	parent(unknown_mother_sand_2, nymeria_sand)	1
status(X, Y)	status(tyrion_lannister, alive)	1
ancestor(rhaella_targaryen, _EX0)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, Y)	parent(aerys_targaryen, viserys_targaryen)	1
parent(Y, _EX3)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(Y, X)	parent(rhaegar_targaryen, jon_snow)	1
parent(balon_greyjoy, _EX4)	parent(balon_greyjoy, rodrick_greyjoy)	1
child(X, Y)	child(X, Y) :- parent(Y, X)	1
parent(_EX6, _EX2)	parent(cassana_estermont, robert_baratheon)	1
parent(_EX4, _EX1)	parent(unknown_mother_targaryen, duncan_targaryen)	1
parent(Y, _EX3)	parent(lewyn_martell, ella_martell)	1
